Year	Month	Date	Country	Area	Location	Type	Species	Number of victims	Age	Injury	Activity	Fatal (Y/N)	Sex	Season
1960	Jan	21-Jan-60	AUSTRALIA	South Australia	Millicent	Boat	Blue pointer	1.0	[nan]	['No injury to occupants, shark lifted boat']	[nan]	['N']	[nan]	Winter
1960	Jan	30-Jan-60	PAPUA NEW GUINEA	Madang (WO)	Off Taludig Village, at mouth of the Murnass River	Unprovoked	"3.5 m [11'6""] shark captured"	1.0	[nan]	['Lower left leg bitten, surgically amputated']	[nan]	['N']	['M']	Winter
1960	Jul	03-Jul-60	USA	Virginia	Hog Island	Provoked	"""sand shark"""	1.0	['41']	['Right arm bitten  PROVOKED INCIDENT']	['Fishing, tossing netted shark onboard']	['N']	['M']	Summer
1960	Jun	24-Jun-60	USA	Florida	2 miles east of Dania Beach, Broward County	Unprovoked	Mako shark, 1.8 m to 2.1 m [6' to 7']  with hook & wire leader caught in mouth	1.0	['39']	['No injury, shark harrassed diver & attempted to bite his swimfins']	['Scuba diving']	['N']	['M']	Summer
1960	Jun	27-Jun-60	NEW ZEALAND	Cook Strait	Tory Channel	Provoked	"White shark, 15'2"" "	1.0	[nan]	['Harpooned shark bit boat PROVOKED INCIDENT']	['Shark fishing']	['N']	[nan]	Summer
1960	Jun	27-Jun-60	NORTH SEA	Unknown, treated at Wick, SCOTLAND	On board  East German fishing trawler, I Mai	Provoked	"""A small shark"""	1.0	['18']	['Right arm bitten by shark taken onboard in net PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Summer
1960	Jun	29-Jun-60	USA	South Carolina	Little River Beach, Horry County	Provoked	7' shark	1.0	[nan]	['Lacerations to calf, wrist & thumb by hooked shark. PROVOKED INCIDENT']	['Surf fishing']	['N']	['M']	Summer
1960	Mar	31-Mar-60	USA	Florida	Off Boca Raton Hotel & Club, Boca Raton, Palm Beach County	Unprovoked	1.2 m [4'], possibly  larger shark	1.0	['42']	['Ankle bitten, hand injured while striking shark']	['Treading water']	['N']	['M']	Spring
1960	May	16-May-60	USA	Florida	Lignum Vitae Channel, Florida Keys, Monroe County	Provoked	"Lemon shark, 1.8 m [6'] male, N. breviostris, identified by W.A. Stark II, later the same day a 6'8"" pregnant female lemon shark bit the bow of the boat"	1.0	[nan]	['No injury, harpooned shark bit hull, leaving tooth fragments. PROVOKED INCIDENT']	[nan]	['N']	[nan]	Spring
1960	May	19-May-60	USA	California	Aptos, Santa Cruz County	Unprovoked	White shark, 4 m to 5 m [13' to 16.5'] 	1.0	['16']	['Left leg bitten, surgically amputated below the knee']	['Swimming ']	['N']	['F']	Spring
1960	May	24-May-60	BERMUDA	Paget	Elbow Beach /  Coral Beach	Unprovoked	Dusky shark, 2.7 m [9'] dusky shark C. obscurus identified by S. Springer on tooth recovered	1.0	['25']	['Foot bitten']	['Free diving but treading water at surface']	['N']	['M']	Spring
1960	Nov	06-Nov-60	AUSTRALIA	Western Australia	Hamelin Bay	Unprovoked	Wobbegong shark, 1.8 m [6'] 	1.0	['24']	['Scratches on right upper arm']	['Spearfishing, speared fish retreated to cave where shark grabbed his arm']	['N']	['M']	Autumn
1960	Nov	27-Nov-60	AUSTRALIA	Queensland	Black�s Beach, 9 miles north of Mackay	Unprovoked	3' shark	1.0	['41']	['Right shoulder lacerated']	['Swimming']	['N']	['M']	Autumn
1960	Nov	Nov-60	NEW GUINEA	Western District	Toro Passage	Provoked	"1.4 m [4'6""] blacktip shark"	2.0	[nan]	['Left wrist bitten by netted shark placed in bottom of dinghy PROVOKED INCIDENT']	[nan]	['N']	['M']	Autumn
1960	Nov	Nov-60	SOUTH AFRICA	Western Cape Province	5 km from Gordon�s Bay, False Bay	Boat	White shark (tooth fragments recovered from hull of boat)	2.0	[nan]	['No injury to occupants, shark bit 45 cm hole in hull']	['Hand lining for shad']	['N']	[nan]	Autumn
1960	Oct	01-Oct-60	AUSTRALIA	New South Wales	North Head	Invalid	Shark involvement not confirmed	2.0	['24']	['Swept off rocks & presumed to have drowned, shark seen in area']	['Fishing']	['N']	['M']	Autumn
1960	Oct	24-Oct-60	SOUTH AFRICA	Western Cape Province	Jacobs Bay Reef, Saldanha Bay	Boat	White shark, 3.7 m to 4.6 m [12' to 15'] 	1.0	[nan]	['No injury to occupants, shark rammed & bit  boat']	['Fishing for rock lobsters']	['N']	[nan]	Autumn
1960	Oct	Oct-60	SOUTH AFRICA	Western Cape Province	False Bay	Boat	White shark, 18 mm tooth fragment  recovered from the hull	1.0	[nan]	['Shark rammed boat, breaching its hull']	['Fishing']	['N']	[nan]	Autumn
1960	Sep	01-Sep-60	MARSHALL ISLANDS	Eniwetok Atoll	Parry Island	Invalid	Grey reef shark, Identified by E.S. Hobson, F. Mautin & E.S. Reese (1961)	1.0	[nan]	['No injury, shark made a threat display']	['Free diving / Spearfishing']	['N']	['M']	Autumn
1960	Sep	02-Sep-60	MARSHALL ISLANDS	Eniwetok Atoll	Lagoon along Sand Island	Invalid	Grey reef shark, Identified as C. menisorrah, by E.S. Hobson, F. Mautin & E.S. Reese (1961)	1.0	[nan]	['No injury, shark made a threat display']	['Free diving / Spearfishing']	['N']	['M']	Autumn
1960	Sep	18-Sep-60	AUSTRALIA	Western Australia	Frenchman Bay	Boat	3.7 m [12'] shark	1.0	[nan]	['No injury to occupants, toothmarks on bottom & side of dinghy']	[nan]	['N']	[nan]	Autumn
1960	Sep	24-Sep-60	USA	South Carolina	Atlantic Beach, Horry County	Provoked	2.4 m [8'], 600-lb shark	1.0	[nan]	['Multiple superficial lacerations of leg, arm & hand PROVOKED INCIDENT']	['Fishing inside net']	['N']	['M']	Autumn
1961	Apr	03-Apr-61	AUSTRALIA	Victoria	Flinders Island	Unprovoked	Grey nurse shark, 2,7 m [9'], 200-lb 	1.0	['24']	['No injury, right sleeve of wetsuit ripped, weight on belt gashed']	['Spearfishing']	['N']	['M']	Spring
1961	Apr	09-Apr-61	MOZAMBIQUE	Gaza	Xai Xai	Unprovoked	Zambesi shark	1.0	['38']	['FATAL, extensive abdominal wounds, died 4 days later  ']	['Swimming, using bundles of sticks as raft']	['Y']	['M']	Spring
1961	Apr	14-Apr-61	AUSTRALIA	New South Wales	10 miles off Nambucca Heads  onboard trawler	Unprovoked	" ""gummy"" shark (Rhizoprionodon or Loxodon) 1.2 m [4']"	1.0	['40']	['Tiny cuts & bruises on neck  ']	['Checking fish traps, fell into the water']	['N']	['M']	Spring
1961	Apr	16-Apr-61	AUSTRALIA	New South Wales	Otford	Provoked	Wobbegong shark, O. barbatus,  1.8 m [6'], identified by G.P. Whitley	1.0	['21']	['Speared shark bit his foot  PROVOKED INCIDENT']	['Spearfishing']	['N']	['M']	Spring
1961	Apr	16-Apr-61	USA	Florida	Fowey Rock Light, Miami	Unprovoked	Tiger shark, 3 m [10']	1.0	['22']	['Thigh bitten']	['Spearfishing']	['N']	['M']	Spring
1961	Apr	17-Apr-61	SOUTH AFRICA	Eastern Cape Province	Port Elizabeth Oceanarium	Provoked	"2 m  ""yellow belly"" captive shark. Shark destroyed by aquarium staff next day"	1.0	[nan]	['Shark bit swimfin after diver kicked shark PROVOKED INCIDENT']	['Diving']	['N']	['M']	Spring
1961	Apr	21-Apr-61	MOZAMBIQUE	Gaza	Sepulveda Beach, Xai Xai	Unprovoked	Zambesi shark	1.0	['37']	['Multiple injuries to both hands, left leg & foot']	['Swimming']	['N']	['M']	Spring
1961	Apr	25-Apr-61	AUSTRALIA	New South Wales	Trial Bay, north of Kempsey	Provoked	"Wobbegong shark, 1.4 m [4'6""] "	1.0	[nan]	"[""Speared shark bit Davy's ankle &  Pierpont's right leg  PROVOKED INCIDENT""]"	['Spearfishing']	['N']	['M']	Spring
1961	Apr	30-Apr-61	USA	Florida	Palm Beach County	Invalid	Shark involvement not confirmed	1.0	['10']	['Abdomen abraded']	['Splashing ']	['N']	['M']	Spring
1961	Apr	Apr-61	AUSTRALIA	Western Australia	Rottnest Island	Provoked	Wobbegong shark, 1.4 m [4.6'] 	1.0	[nan]	['Speared shark bit his arm & seat of pants of diving suit  PROVOKED INCIDENT']	['Spearfishing']	['N']	['M']	Spring
1961	Aug	02-Aug-61	USA	Hawaii	Pearl Harbor Channel, O'ahu	Unprovoked	2.4 m [8'] shark	1.0	['38']	['Hand bitten']	['Net fishing, picking catch from the net']	['N']	['M']	Summer
1961	Aug	16-Aug-61	USA	South Carolina	Pawley�s Island, Georgetown County	Unprovoked	White shark	1.0	['19']	['Right arm bitten. Left leg bitten, surgically amputated ']	['Wading']	['N']	['M']	Summer
1961	Aug	20-Aug-61	USA	California	Portuguese Beach at mouth of Salmon Creek, Sonoma County	Unprovoked	White shark, 4 m [13'] 	1.0	['16']	['Foot, leg  & groin lacerated']	['Swimming']	['N']	['M']	Summer
1961	Dec	13-Dec-61	AUSTRALIA	Torres Strait	Horn Island, near Thursday Island	Unprovoked	1.8 m [6'] shark	1.0	['17']	['Right thigh and leg lacerated']	['Swimming with other crew near wharf']	['N']	['M']	Winter
1961	Dec	18-Dec-61	AUSTRALIA	Queensland	Noosa Heads	Unprovoked	Next morning a 3 m [10'] shark was caught that had Andrews' leg in its gut	1.0	['22']	['FATAL, right wrist and hand bitten, left leg severed above knee ']	['Surfing, pushing board ashore']	['Y']	['M']	Winter
1961	Dec	19-Dec-61	AUSTRALIA	South Australia	Cowell	Boat	2.7 m [9'] shark	1.0	[nan]	['No injury to occupant; shark leapt into boat']	['Fishing, hauling in a 5-lb snapper']	['N']	[nan]	Winter
1961	Dec	27-Dec-61	AUSTRALIA	Western Australia	North of main swimming area in Waterman's Bay Beach, Perth	Provoked	Grey nurse shark, 2.4 m [8'] 	1.0	['23']	['No injury, Parker shot the shark when it came close to his nephew, Bill Bradbury (14), then the shark bent his speargun PROVOKED INCIDENT']	['Spearfishing']	['N']	['M']	Winter
1961	Dec	28-Dec-61	AUSTRALIA	Queensland	Lambert's Beach, Mackay	Unprovoked	3 m [10'] shark	1.0	['18']	['FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack']	['Standing']	['Y']	['F']	Winter
1961	Dec	28-Dec-61	AUSTRALIA	Queensland	Lambert�s Beach, Mackay	Unprovoked	3 m [10'] shark	1.0	['24']	['Hand bitten, surgically amputated']	['Standing']	['N']	['M']	Winter
1961	Dec	28-Dec-61	SOUTH AFRICA	KwaZulu-Natal	Umhlanga Rocks	Unprovoked	Zambesi shark	1.0	['18']	['Lower right leg & ankle bitten']	['Treading water']	['N']	['M']	Winter
1961	Feb	01-Feb-61	AUSTRALIA	Western Australia	Carnac Island	Unprovoked	Grey nurse shark, 2.7 m [9'] 	1.0	[nan]	['No injury']	['Collecting crayfish']	['N']	['M']	Winter
1961	Feb	01-Feb-61	SOUTH AFRICA	Eastern Cape Province	Nahoon	Unprovoked	2.1 m [7'], 90-kg shark	1.0	['14']	['FATAL, multiple injuries to both legs, feet & left arm  ']	['Swimming']	['Y']	['M']	Winter
1961	Feb	12-Feb-61	SOUTH AFRICA	Western Cape Province	Sea Point	Unprovoked	1.5 m [5'] shark	1.0	['27']	['Torso bruised & abraded ']	['Spearfishing, shark grabbed his white t-shirt and towed him ']	['N']	['M']	Winter
1961	Feb	17-Feb-61	AUSTRALIA	Victoria	Mount Martha Beach	Unprovoked	"2' ""banjo shark"""	1.0	[nan]	['Ankle bitten by small �gummy� shark, minor injury']	['Standing']	['N']	['F']	Winter
1961	Feb	Feb-61	USA	California	Topanga Canyon Beach, Santa Monica Bay	Invalid	Shovel-nosed guitarfish	1.0	[nan]	['Considered a doubtful incident']	[nan]	['N']	['M']	Winter
1961	Jan	01-Jan-61	COLUMBIA	Roncador Bank	Roncador Bank, 135 nm north of San Andres 	Unprovoked	1.8 m [6'] shark	2.0	[nan]	['Leg bitten']	['Taking boat from California to Florida when it ran aground & he was swimming back to boat']	['N']	['M']	Winter
1961	Jan	03-Jan-61	SOUTH AFRICA	KwaZulu-Natal	Palm Beach	Invalid	Raggedtooth shark, 147-kg [324-lb] 	1.0	[nan]	['Human remains (patella & remnants of black swim suit) found in shark']	[nan]	['Y']	[nan]	Winter
1961	Jan	05-Jan-61	MOZAMBIQUE	Limpopo River	190 km to 240 km from the sea	Unprovoked	Six Zambesi sharks seen to 1.5 m [5'] in length	1.0	[nan]	['Leg bitten ']	['Swimming']	['N']	['M']	Winter
1961	Jan	06-Jan-61	AUSTRALIA	Northern Territory	Stokes Hill Wharf, Darwin	Provoked	Hammerhead shark, 1.8 m [6'] 	1.0	[nan]	['Finger bitten by hooked shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Winter
1961	Jan	06-Jan-61	SOUTH AFRICA	KwaZulu-Natal	Winkelspruit	Unprovoked	White shark, based on bite pattern	1.0	['13']	['Right foot, leg and hand bitten']	['Standing']	['N']	['M']	Winter
1961	Jan	15-Jan-61	AUSTRALIA	New South Wales	Cook Island	Provoked	Wobbegong shark, 1.5 m [5'] 	1.0	['27']	['Right calf  bitten by lassoed shark on deck of surf ski PROVOKED INCIDENT']	['Collecting aquarium specimens']	['N']	['M']	Winter
1961	Jan	22-Jan-61	SOUTH AFRICA	KwaZulu-Natal	Amanzimtoti	Unprovoked	White shark	1.0	['15']	['Left thigh bitten ']	['Swimming']	['N']	['M']	Winter
1961	Jan	25-Jan-61	SOUTH AFRICA	Western Cape Province	Frikkies Bay	Boat	4.6 m [15'] shark	1.0	[nan]	['No injury to occupants, shark took a gaffed fish they were bringing aboard & hit their boat']	['Fishing for kob']	['N']	[nan]	Winter
1961	Jul	07-Jul-61	AUSTRALIA	Queensland	Cape Moreton	Provoked	White shark, 5.2 m [17'], 2500-lb 	1.0	[nan]	"[""No injury to occupant, hooked shark bit boat's rudder PROVOKED INCIDENT""]"	['Shark fishing']	['N']	[nan]	Summer
1961	Jul	29-Jul-61	USA	New York	Whitewood Point on Lloyd Neck in Oyster Bay	Provoked	"43"" shark"	1.0	['57']	['Puncture wound on right shin & fingers lacerated by speared shark PROVOKED INCIDENT']	['Spearfishing']	['N']	['M']	Summer
1961	Jul	Jul-61	ITALY	Adriatic Sea	Riccione	Unprovoked	White shark, 4.5 m 	1.0	['21']	['Foot bitten']	['Spearfishing']	['N']	['M']	Summer
1961	Jun	01-Jun-61	PAPUA NEW GUINEA	Admiralty Islands, Manus Province	Rossun, Manus	Provoked	2.7 m [9']shark	1.0	['19']	['Left thigh severely bitten, but he regained  the canoe, then shark bit canoe PROVOKED INCIDENT']	['Fishing, speared shark upset canoe & man fell in water']	['N']	['M']	Summer
1961	Jun	Reported 06-Jun-1961	USA	Florida	Ponte Vedra Beach, St. Johns County	Boat	Hammerhead shark	1.0	[nan]	['No injury to diver or occupants of the boat, shark butted boat ']	['Spearfishing on Scuba']	['N']	['M']	Summer
1961	Mar	07-Mar-61	SOUTH AFRICA	KwaZulu-Natal	St. Lucia	Provoked	"Zambesi shark, 4'9"""	1.0	['44']	['Landed shark in boat bit his left leg  PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Spring
1961	Mar	09-Mar-61	NORTH PACIFIC OCEAN	Wake Island (EnenKio)	Leeward side of island, directly in back of Mid-Pac barrel storage area	Unprovoked	Grey reef shark, 1.8 m [6'] grey reef shark, identified by Dr. L.P. L. Schultz based on photographs; identified as C. melanopterus by Stewart	1.0	['33']	['Right elbow bitten']	['Free diving']	['N']	['M']	Spring
1961	Mar	12-Mar-61	AUSTRALIA	South Australia	Aldinga Beach	Unprovoked	White shark, 3.7 m [12'] 	1.0	['21']	['Left leg bitten  & left forearm lacerated']	['Spearfishing']	['N']	['M']	Spring
1961	Mar	18-Mar-61	AUSTRALIA	Victoria	Lady Beach at Warrnambool	Unprovoked	3 m [10'] shark	1.0	['24']	"[""Abdomen & arm bitten. Shark, holding him by the arm, leapt 4' to 5' above the surface""]"	['Swimming']	['N']	['M']	Spring
1961	Mar	30-Mar-61	AUSTRALIA	South Australia	Glenelg Breakwater	Unprovoked	Bronze whaler shark, 2.4 m [8'] Identified by Clyde Buttery	2.0	['24']	['Shark took his entire catch, lacerated his knee and tore his wet suit as it brushed past him']	['Spearfishing']	['N']	['M']	Spring
1961	May	15-May-61	USA	Florida	Laguna Beach, Bay County	Unprovoked	Hammerhead shark, 500-llb 	1.0	['52']	['Middle finger of left hand & right forearm lacerated']	['Walking in chest-deep water']	['N']	['M']	Spring
1961	May	21-May-61	USA	California	Tomales Point, Marin County	Unprovoked	White shark	1.0	['20']	['No injury, wetsuit bitten']	['Free diving for abalone']	['N']	['M']	Spring
1961	Oct	Oct-61	VANUATU	Shefa Province	 Lelepa Island	Boat	Two shark's teeth recovered from canoe	1.0	[nan]	['No injury to occupant, canoe  bitten & overturned by shark']	['Paddling outrigger canoe']	['N']	['M']	Autumn
1961	Sep	07-Sep-61	PERSIAN GULF	25 km off the coast of Iran & 483km from mouth of Persian Gulf	Khark Island	Unprovoked	1.5 m to 1.8 m  [5' to 6'] shark	1.0	[nan]	"['3"" cut on sole of foot']"	['Free diving, surveying a pipeline & examing cathodes under jetty']	['N']	['M']	Autumn
1961	Sep	24-Sep-61	CROATIA	Primorje-Gorski Kotar County 	Opatija, northwestern coast of Rijeka Bay	Unprovoked	White shark	1.0	['19']	['FATAL, hand severed & legs bitten  ']	['Swimming']	['Y']	['M']	Autumn
1961	Sep	Reported 06-Sep-1961	ITALY	Venice Province	 Chioggia	Provoked	1 m shark	1.0	['33 & 37']	['Left foot & right hand bitten by netted shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Autumn
1962	Apr	05-Apr-62	SOUTH AFRICA	Eastern Cape Province	East London	Provoked	4.9 m [16']shark	1.0	[nan]	['Hooked shark bit boat PROVOKED INCIDENT']	['Fishing']	['N']	[nan]	Spring
1962	Apr	07-Apr-62	SOUTH AFRICA	KwaZulu-Natal	Umhlali	Unprovoked	Zambesi shark, 1.2 m [4'] 	1.0	['13']	['Left ankle & foot bitten']	['Wading']	['N']	['M']	Spring
1962	Apr	20-Apr-62	AUSTRALIA	Queensland	Nobbys Beach	Provoked	Bronze whaler shark, 3.7 m [12'] 	1.0	[nan]	['No injury to occupants, hooked shark cracked hull PROVOKED INCIDENT']	['Fishing']	['N']	[nan]	Spring
1962	Aug	12-Aug-62	USA	New Jersey	Manasquan, Ocean County	Unprovoked	1.8 m [6'] shark	1.0	['24']	['Left thigh & hand bitten']	['Standing']	['N']	['M']	Summer
1962	Aug	19-Aug-62	USA	Texas	Off Andy Bowie Park, Padre Island, near Port Isabel	Unprovoked	Unknown	1.0	['40']	['FATAL, lower right leg bitten']	['Surf fishing in waist-deep water']	['Y']	['M']	Summer
1962	Aug	23-Aug-62	SOUTH AFRICA	Western Cape Province	Robbesteen	Boat	4.3 m [14'] shark	1.0	[nan]	['No injury to occupants, shark hit boat, lifting it from the water, bit & dented propeller']	['Fishing']	['N']	[nan]	Summer
1962	Aug	29-Aug-62	USA	California	Solana Beach, San Diego County	Provoked	Horn shar,k Heterodontus francisci, 1.2 m [4'] 	1.0	['39']	['Struck shark with abalone bar to scare it away from abalone, but shark bit his shoulder  PROVOKED INCIDENT']	['Diving for abalone']	['N']	['M']	Summer
1962	Aug	30-Aug-62	PAPUA NEW GUINEA	Northern District	Kufulu Point	Provoked	"""A long thin brown-colored shark"""	1.0	['49']	['Posterior lower left leg lacerated by netted shark PROVOKED INCIDENT']	['Fishing']	['N']	['M']	Summer
1962	Aug	Late Aug-1962	ITALY	Tyrrhenian Sea	Circeo, Secca del Faro	Unprovoked	White shark	2.0	[nan]	['No injury']	['Diving']	['N']	['M']	Summer
1962	Aug	Reported 31-Aug-1962	ISRAEL	Sharon	2 km north of Apollonia	Provoked	2.5 m [8.25'] shark	1.0	[nan]	['Details unknown, possibly a PROVOKED INCIDENT']	['Fishing']	['UNKNOWN']	['M']	Summer
1962	Dec	09-Dec-62	AUSTRALIA	South Australia	Carrickalinga Head	Unprovoked	White shark, 4.3 m [14'] (or bronze whaler)	1.0	['16']	['FATAL, right leg bitten thigh to calf  ']	['Spearfishing']	['Y']	['M']	Winter
1962	Dec	30-Dec-62	SOUTH AFRICA	KwaZulu-Natal	Shark tank at Oceanographic Research Institute	Provoked	Dusky shark, 1 m 	1.0	[nan]	"[""Captive shark bit air hose & minor lacerations on diver's cheek PROVOKED INCIDENT""]"	['Scuba diving']	['N']	['M']	Winter
1962	Dec	Dec-62	SOUTH AFRICA	Western Cape Province	Swartklip	Boat	"2 m [6'9""], 87.5-kg [193-lb]  shark"	1.0	[nan]	['No injury to occupants, shark jumped onboard, knocking 2 anglers onto the deck']	['Fishing']	['N']	[nan]	Winter
1962	Feb	04-Feb-62	AUSTRALIA	Queensland	Greenmount Beach	Unprovoked	60 cm  shark 	1.0	['35']	['Shin bitten']	['Swimming']	['N']	['M']	Winter
1962	Feb	05-Feb-62	SOUTH AFRICA	KwaZulu-Natal	Winkelspruit	Unprovoked	White shark, 3 m 	1.0	['13']	['FATAL, tissue removed from thigh, femoral artery severed ']	['Treading water']	['Y']	['M']	Winter
1962	Feb	15-Feb-62	AUSTRALIA	Queensland	Between Smith�s Rock & Moreton Island	Unprovoked	3.7 m [12'] shark	1.0	[nan]	['Middle finger of right hand lacerated']	['Fishing for snappers & cleaning mullet. Put mullet over side of boat to wash it']	['N']	['M']	Winter
1962	Feb	18-Feb-62	NEW ZEALAND	Southland	Long Beach	Provoked	1.8 m [6'] shark	1.0	['15']	"[""Mistook shark's tail for kelp & grabbed it, legs abraded by shark's fins PROVOKED INCIDENT""]"	['Swimming']	['N']	['M']	Winter
1962	Feb	23-Feb-62	PAPUA NEW GUINEA	Central Province	Fisherman�s Island near Port Moresby	Unprovoked	1.2 m  [4'] shark	1.0	[nan]	['Torso lacerated']	['Swimming along a row of nets']	['N']	['M']	Winter
1962	Jan	01-Jan-62	MARSHALL ISLANDS	Kwajalein Atoll	Roi-namur Island	Unprovoked	1.8 m [6'] shark	2.0	['57']	"['2.5"" laceration on right hand']"	"[""Fishing with hand net in 2' of water""]"	['N']	['M']	Winter
1962	Jan	02-Jan-62	AUSTRALIA	New South Wales	Seaspray, near Sale	Provoked	2.7 m [9'] shark	1.0	[nan]	['No injury to occupants, hooked shark dragged boat 2 miles PROVOKED INCIDENT']	['Fishing']	['N']	[nan]	Winter
1962	Jan	08-Jan-62	AUSTRALIA	New South Wales	Lake Illawarra	Invalid	10' whale	1.0	['25']	['Remains recovered from shark, but shark involvement prior to death unconfirmed']	['Swimming']	['Y']	['M']	Winter
1962	Jan	10-Jan-62	AUSTRALIA	South Australia	Ceduna	Boat	White shark	1.0	[nan]	['No injury to fisherman Alf Dean & other occupants; shark bit stern of boat']	['Fishing for sharks']	['N']	[nan]	Winter
1962	Jan	11-Jan-62	AUSTRALIA	South Australia	Marino	Boat	Said to involve a Grey nurse shark 3.7 m [12'] 	1.0	[nan]	['No injury to occupant, shark bit propeller & lifted boat several feet']	['Fishing']	['N']	[nan]	Winter
1962	Jan	11-Jan-62	NEW ZEALAND	South Island	Fairdown Beach, 5 miles north of Westport	Unprovoked	"36""  shark"	1.0	['54']	['Right foot lacerated ']	['Surf fishing']	['N']	['F']	Winter
1962	Jan	11-Jan-62	PAPUA NEW GUINEA	10�S, 142�E	Jukuataia Village	Unprovoked	White shark	1.0	['24']	['Left leg & buttocks bitten']	['Spearfishing']	['N']	['M']	Winter
1962	Jan	14-Jan-62	AUSTRALIA	New South Wales	Lennox Head, Ballina	Unprovoked	2.1 m [7'] shark, a shark's serrated tooth recovered from toe	1.0	['19']	['Dorsum of foot lacerated & toe severed']	['Surfing']	['N']	['M']	Winter
1962	Jan	14-Jan-62	AUSTRALIA	New South Wales	Long Reef, North Manly	Provoked	 Grey nurse shark,  3 m [10'] 	1.0	[nan]	['Speared shark bit gunwale of boat as it was being hauled onboard PROVOKED INCIDENT']	['Spearfishing']	['N']	[nan]	Winter
1962	Jan	14-Jan-62	USA	California	Farallon Islands	Unprovoked	White shark, 4 m [13'] 	1.0	['29']	['Buttock bitten & major leg wound']	['Spearfishing / Scuba diving (at surface)']	['N']	['M']	Winter
1962	Jan	16-Jan-62	NEW ZEALAND	South Island	Pigeon Bay, Canterbury	Provoked	"Said to involve a 4.9 m [16'] ""red shark"""	1.0	[nan]	['No injury to occupants, hooked shark attacked boat PROVOKED INCIDENT']	['Fishing']	['N']	[nan]	Winter
1962	Jan	18-Jan-62	SOUTH AFRICA	KwaZulu-Natal	Margate	Invalid	Zambesi shark	1.0	['40']	['Possible drowning / post mortem scavenging']	['Fishing, slipped on rocks & fell into sea']	['Y']	['M']	Winter
1962	Jan	21-Jan-62	AUSTRALIA	New South Wales	Cronulla	Provoked	Bronze whaler shark,  3m [10'] 	1.0	['19']	['Suffered from shock & immersion after being dragged underwater  by speared shark PROVOKED INCIDENT']	['Spearfishing']	['N']	['M']	Winter
1962	Jan	27-Jan-62	NEW ZEALAND	South Island	Oreti Beach	Unprovoked	1.5 m [5'] shark	1.0	['18']	['Left hand injured: gash on back of hand, toothmarks on palm']	['Splashing ']	['N']	['M']	Winter
1962	Jul	19-Jul-62	USA	California	30 miles south of San Clemente Island	Provoked	Blue shark	1.0	['19']	['2 lacerations on left hand by hooked shark, PROVOKED INCIDENT']	['Fishing for albacore']	['N']	['M']	Summer
1962	Jul	28-Jul-62	USA	South Carolina	Off Hilton Head, Beaufort County 	Unprovoked	1.8 m to 2.4 m [6' to 8'] shark	1.0	['21']	['Lacerations on left foot & hand']	['Standing']	['N']	['M']	Summer
1962	Jul	Reported 03-Jul-1962	GREECE	Cyclades	Near Mykonos Island	Invalid	5.5 m [18'] shark	1.0	[nan]	['No injury']	[nan]	['N']	[nan]	Summer
1962	Jun	04-Jun-62	USA	California	12' tank at Steinhart Aquarium, San Francisco	Provoked	 Sevengill  shark, 1.2 m [4'] 	1.0	['55']	['Right forearm bitten PROVOKED INCIDENT']	['Scuba diving, attempting to catch a captive shark']	['N']	['M']	Summer
1962	Jun	10-Jun-62	PAPUA NEW GUINEA	Madang Province	Mouth of Suareng River, a mile from Taludig	Unprovoked	Possibly a bronze whaler shark	1.0	[nan]	['FATAL, chest & leg bitten ']	['Washing']	['Y']	['M']	Summer
1962	Jun	17-Jun-62	USA	Florida	New Smyrna Beach, Volusia County	Unprovoked	1.8 m [6'] shark	1.0	['11']	"['8"" laceration on left calf']"	['Rolled off raft']	['N']	['M']	Summer
1962	Jun	21-Jun-62	SOUTH AFRICA	Western Cape Province	Millers Point, False Bay	Boat	2.7 m to 3 m [9' to 10'] sharks	1.0	[nan]	['No injury to occupants, shark charged boat, then 2 more sharks hit boat, oar grabbed, boat finally drifted ashore at 02h00']	"['On a ""shark hunt""']"	['N']	[nan]	Summer
1962	Jun	25-Jun-62	USA	Florida	Fernandina Beach, Nassau County	Invalid	Shark involvement not confirmed	1.0	[nan]	['FATAL']	['U.S. Airforce crewman reported missing after bailing out of jet']	['Y']	['M']	Summer
1962	Mar	24-Mar-62	PAPUA NEW GUINEA	Madang	Matukar village 	Unprovoked	Possibly a bronze whaler shark	1.0	['10']	['FATAL, calf bitten, other leg severed below knee']	['Swimming']	['Y']	['M']	Spring
1962	Mar	25-Mar-62	AUSTRALIA	New South Wales	Norah Head	Boat	Bronze whaler shark, 4.6 m [15'] 	1.0	[nan]	['No injury to occupants. Shark holed boat & they swam 200 yards to shore']	['Fishing & spearfishing']	['N']	[nan]	Spring
1962	Mar	25-Mar-62	NEW ZEALAND	Off the Coromandel Peninsula, North Island	Alderman Islands	Provoked	1.8 m [6'] shark 	1.0	[nan]	['Left foot bitten by hooked shark PROVOKED INCIDENT']	[nan]	['N']	['M']	Spring
